ID_question;socio_dem;attribute
q1;gender;female
q1;gender;male
q1;age;35-49
q1;residence;Stadt
q1;residence;Land
q1;civil_status;Ledig
q1;denomination;Evangelisch-reformiert
q1;denomination;Römisch-katholisch
q1;education;Universität
q1;political_spectrum;Mitte und Konservativ
q2;gender;female
q2;gender;male
q2;age;35-49
q2;residence;Stadt
q2;residence;Land
q2;civil_status;Ledig
q2;denomination;Evangelisch-reformiert
q2;denomination;Römisch-katholisch
q2;education;Universität
q2;political_spectrum;Mitte und Konservativ
q3;gender;female
q3;gender;male
q3;age;35-49
q3;residence;Stadt
q3;residence;Land
q3;civil_status;Ledig
q3;denomination;Evangelisch-reformiert
q3;denomination;Römisch-katholisch
q3;education;Universität
q3;political_spectrum;Mitte und Konservativ
q4;gender;female
q4;gender;male
q4;age;35-49
q4;residence;Stadt
q4;residence;Land
q4;civil_status;Ledig
q4;denomination;Evangelisch-reformiert
q4;denomination;Römisch-katholisch
q4;education;Universität
q4;political_spectrum;Mitte und Konservativ
q5;gender;female
q5;gender;male
q5;age;35-49
q5;residence;Stadt
q5;residence;Land
q5;civil_status;Ledig
q5;denomination;Evangelisch-reformiert
q5;denomination;Römisch-katholisch
q5;education;Universität
q5;political_spectrum;Mitte und Konservativ
