id,language,qid,stance,context,sd,ex,pc,chars,dimension,group,condition
de_0,de,7,FAVOR,false,true,false,false,410,gender,Männlich,SD
de_1,de,7,FAVOR,false,true,false,false,415,age,18-34,SD
de_2,de,7,FAVOR,false,true,false,false,404,residence,Stadt,SD
de_3,de,7,FAVOR,false,true,false,false,418,civil_status,In Partnerschaft,SD
de_4,de,7,FAVOR,false,true,false,false,424,denomination,Evangelisch-reformiert,SD
de_5,de,7,FAVOR,false,true,false,false,410,education,Universität,SD
de_6,de,7,FAVOR,false,true,false,false,433,political_spectrum,Mitte und Konservativ,SD
de_7,de,7,FAVOR,false,false,false,false,327,none,none,Default
de_8,de,10,FAVOR,false,true,false,false,394,gender,Männlich,SD
de_9,de,10,FAVOR,false,true,false,false,399,age,18-34,SD
de_10,de,10,FAVOR,false,true,false,false,388,residence,Stadt,SD
de_11,de,10,FAVOR,false,true,false,false,402,civil_status,In Partnerschaft,SD
de_12,de,10,FAVOR,false,true,false,false,408,denomination,Evangelisch-reformiert,SD
de_13,de,10,FAVOR,false,true,false,false,394,education,Universität,SD
de_14,de,10,FAVOR,false,true,false,false,417,political_spectrum,Mitte und Konservativ,SD
de_15,de,10,FAVOR,false,false,false,false,311,none,none,Default
de_16,de,30,FAVOR,false,true,false,false,395,gender,Männlich,SD
de_17,de,30,FAVOR,false,true,false,false,400,age,18-34,SD
de_18,de,30,FAVOR,false,true,false,false,389,residence,Stadt,SD
de_19,de,30,FAVOR,false,true,false,false,403,civil_status,In Partnerschaft,SD
de_20,de,30,FAVOR,false,true,false,false,409,denomination,Evangelisch-reformiert,SD
de_21,de,30,FAVOR,false,true,false,false,395,education,Universität,SD
de_22,de,30,FAVOR,false,true,false,false,418,political_spectrum,Mitte und Konservativ,SD
de_23,de,30,FAVOR,false,false,false,false,312,none,none,Default
de_24,de,13,AGAINST,false,true,false,false,391,gender,Männlich,SD
de_25,de,13,AGAINST,false,true,false,false,396,age,18-34,SD
de_26,de,13,AGAINST,false,true,false,false,385,residence,Stadt,SD
de_27,de,13,AGAINST,false,true,false,false,399,civil_status,In Partnerschaft,SD
de_28,de,13,AGAINST,false,true,false,false,405,denomination,Evangelisch-reformiert,SD
de_29,de,13,AGAINST,false,true,false,false,391,education,Universität,SD
de_30,de,13,AGAINST,false,true,false,false,414,political_spectrum,Mitte und Konservativ,SD
de_31,de,13,AGAINST,false,false,false,false,308,none,none,Default
de_32,de,12,FAVOR,false,true,false,false,322,gender,Männlich,SD
de_33,de,12,FAVOR,false,true,false,false,327,age,18-34,SD
de_34,de,12,FAVOR,false,true,false,false,316,residence,Stadt,SD
de_35,de,12,FAVOR,false,true,false,false,330,civil_status,In Partnerschaft,SD
de_36,de,12,FAVOR,false,true,false,false,336,denomination,Evangelisch-reformiert,SD
de_37,de,12,FAVOR,false,true,false,false,322,education,Universität,SD
de_38,de,12,FAVOR,false,true,false,false,345,political_spectrum,Mitte und Konservativ,SD
de_39,de,12,FAVOR,false,false,false,false,239,none,none,Default
de_40,de,32,FAVOR,false,true,false,false,385,gender,Männlich,SD
de_41,de,32,FAVOR,false,true,false,false,390,age,18-34,SD
de_42,de,32,FAVOR,false,true,false,false,379,residence,Stadt,SD
de_43,de,32,FAVOR,false,true,false,false,393,civil_status,In Partnerschaft,SD
de_44,de,32,FAVOR,false,true,false,false,399,denomination,Evangelisch-reformiert,SD
de_45,de,32,FAVOR,false,true,false,false,385,education,Universität,SD
de_46,de,32,FAVOR,false,true,false,false,408,political_spectrum,Mitte und Konservativ,SD
de_47,de,32,FAVOR,false,false,false,false,302,none,none,Default
de_48,de,27,AGAINST,false,true,false,false,345,gender,Männlich,SD
de_49,de,27,AGAINST,false,true,false,false,350,age,18-34,SD
de_50,de,27,AGAINST,false,true,false,false,339,residence,Stadt,SD
de_51,de,27,AGAINST,false,true,false,false,353,civil_status,In Partnerschaft,SD
de_52,de,27,AGAINST,false,true,false,false,359,denomination,Evangelisch-reformiert,SD
de_53,de,27,AGAINST,false,true,false,false,345,education,Universität,SD
de_54,de,27,AGAINST,false,true,false,false,368,political_spectrum,Mitte und Konservativ,SD
de_55,de,27,AGAINST,false,false,false,false,262,none,none,Default
de_56,de,5,AGAINST,false,true,false,false,384,gender,Männlich,SD
de_57,de,5,AGAINST,false,true,false,false,389,age,18-34,SD
de_58,de,5,AGAINST,false,true,false,false,378,residence,Stadt,SD
de_59,de,5,AGAINST,false,true,false,false,392,civil_status,In Partnerschaft,SD
de_60,de,5,AGAINST,false,true,false,false,398,denomination,Evangelisch-reformiert,SD
de_61,de,5,AGAINST,false,true,false,false,384,education,Universität,SD
de_62,de,5,AGAINST,false,true,false,false,407,political_spectrum,Mitte und Konservativ,SD
de_63,de,5,AGAINST,false,false,false,false,301,none,none,Default
de_64,de,28,FAVOR,false,true,false,false,395,gender,Männlich,SD
de_65,de,28,FAVOR,false,true,false,false,400,age,18-34,SD
de_66,de,28,FAVOR,false,true,false,false,389,residence,Stadt,SD
de_67,de,28,FAVOR,false,true,false,false,403,civil_status,In Partnerschaft,SD
de_68,de,28,FAVOR,false,true,false,false,409,denomination,Evangelisch-reformiert,SD
de_69,de,28,FAVOR,false,true,false,false,395,education,Universität,SD
de_70,de,28,FAVOR,false,true,false,false,418,political_spectrum,Mitte und Konservativ,SD
de_71,de,28,FAVOR,false,false,false,false,312,none,none,Default
de_72,de,31,FAVOR,false,true,false,false,324,gender,Männlich,SD
de_73,de,31,FAVOR,false,true,false,false,329,age,18-34,SD
de_74,de,31,FAVOR,false,true,false,false,318,residence,Stadt,SD
de_75,de,31,FAVOR,false,true,false,false,332,civil_status,In Partnerschaft,SD
de_76,de,31,FAVOR,false,true,false,false,338,denomination,Evangelisch-reformiert,SD
de_77,de,31,FAVOR,false,true,false,false,324,education,Universität,SD
de_78,de,31,FAVOR,false,true,false,false,347,political_spectrum,Mitte und Konservativ,SD
de_79,de,31,FAVOR,false,false,false,false,241,none,none,Default
de_80,de,33,AGAINST,false,true,false,false,369,gender,Männlich,SD
de_81,de,33,AGAINST,false,true,false,false,374,age,18-34,SD
de_82,de,33,AGAINST,false,true,false,false,363,residence,Stadt,SD
de_83,de,33,AGAINST,false,true,false,false,377,civil_status,In Partnerschaft,SD
de_84,de,33,AGAINST,false,true,false,false,383,denomination,Evangelisch-reformiert,SD
de_85,de,33,AGAINST,false,true,false,false,369,education,Universität,SD
de_86,de,33,AGAINST,false,true,false,false,392,political_spectrum,Mitte und Konservativ,SD
de_87,de,33,AGAINST,false,false,false,false,286,none,none,Default
de_88,de,6,AGAINST,false,true,false,false,379,gender,Männlich,SD
de_89,de,6,AGAINST,false,true,false,false,384,age,18-34,SD
de_90,de,6,AGAINST,false,true,false,false,373,residence,Stadt,SD
de_91,de,6,AGAINST,false,true,false,false,387,civil_status,In Partnerschaft,SD
de_92,de,6,AGAINST,false,true,false,false,393,denomination,Evangelisch-reformiert,SD
de_93,de,6,AGAINST,false,true,false,false,379,education,Universität,SD
de_94,de,6,AGAINST,false,true,false,false,402,political_spectrum,Mitte und Konservativ,SD
de_95,de,6,AGAINST,false,false,false,false,296,none,none,Default
de_96,de,2,AGAINST,false,true,false,false,427,gender,Männlich,SD
de_97,de,2,AGAINST,false,true,false,false,432,age,18-34,SD
de_98,de,2,AGAINST,false,true,false,false,421,residence,Stadt,SD
de_99,de,2,AGAINST,false,true,false,false,435,civil_status,In Partnerschaft,SD
de_100,de,2,AGAINST,false,true,false,false,441,denomination,Evangelisch-reformiert,SD
de_101,de,2,AGAINST,false,true,false,false,427,education,Universität,SD
de_102,de,2,AGAINST,false,true,false,false,450,political_spectrum,Mitte und Konservativ,SD
